patient_number,data_path,label
1.0,/data/duke_data/patients/png_out_64/1/pos/1-089-1.png,pos
1.0,/data/duke_data/patients/png_out_64/1/pos/1-090-1.png,pos
1.0,/data/duke_data/patients/png_out_64/1/pos/1-091-1.png,pos
1.0,/data/duke_data/patients/png_out_64/1/pos/1-092-1.png,pos
1.0,/data/duke_data/patients/png_out_64/1/pos/1-093-1.png,pos
1.0,/data/duke_data/patients/png_out_64/1/pos/1-094-1.png,pos
1.0,/data/duke_data/patients/png_out_64/1/pos/1-095-1.png,pos
1.0,/data/duke_data/patients/png_out_64/1/pos/1-096-1.png,pos
1.0,/data/duke_data/patients/png_out_64/1/pos/1-097-1.png,pos
1.0,/data/duke_data/patients/png_out_64/1/pos/1-098-1.png,pos
1.0,/data/duke_data/patients/png_out_64/1/pos/1-099-1.png,pos
1.0,/data/duke_data/patients/png_out_64/1/pos/1-100-1.png,pos
1.0,/data/duke_data/patients/png_out_64/1/pos/1-101-1.png,pos
1.0,/data/duke_data/patients/png_out_64/1/pos/1-102-1.png,pos
1.0,/data/duke_data/patients/png_out_64/1/pos/1-103-1.png,pos
1.0,/data/duke_data/patients/png_out_64/1/pos/1-104-1.png,pos
1.0,/data/duke_data/patients/png_out_64/1/pos/1-105-1.png,pos
1.0,/data/duke_data/patients/png_out_64/1/pos/1-106-1.png,pos
1.0,/data/duke_data/patients/png_out_64/1/pos/1-107-1.png,pos
1.0,/data/duke_data/patients/png_out_64/1/pos/1-108-1.png,pos
1.0,/data/duke_data/patients/png_out_64/1/pos/1-109-1.png,pos
1.0,/data/duke_data/patients/png_out_64/1/pos/1-110-1.png,pos
1.0,/data/duke_data/patients/png_out_64/1/pos/1-111-1.png,pos
1.0,/data/duke_data/patients/png_out_64/1/neg/1-155-1.png,neg
1.0,/data/duke_data/patients/png_out_64/1/neg/1-047-1.png,neg
1.0,/data/duke_data/patients/png_out_64/1/neg/1-074-1.png,neg
1.0,/data/duke_data/patients/png_out_64/1/neg/1-124-1.png,neg
1.0,/data/duke_data/patients/png_out_64/1/neg/1-137-1.png,neg
1.0,/data/duke_data/patients/png_out_64/1/neg/1-054-1.png,neg
1.0,/data/duke_data/patients/png_out_64/1/neg/1-154-1.png,neg
1.0,/data/duke_data/patients/png_out_64/1/neg/1-136-1.png,neg
1.0,/data/duke_data/patients/png_out_64/1/neg/1-151-1.png,neg
1.0,/data/duke_data/patients/png_out_64/1/neg/1-043-1.png,neg
1.0,/data/duke_data/patients/png_out_64/1/neg/1-125-1.png,neg
1.0,/data/duke_data/patients/png_out_64/1/neg/1-052-1.png,neg
1.0,/data/duke_data/patients/png_out_64/1/neg/1-159-1.png,neg
1.0,/data/duke_data/patients/png_out_64/1/neg/1-036-1.png,neg
1.0,/data/duke_data/patients/png_out_64/1/neg/1-045-1.png,neg
1.0,/data/duke_data/patients/png_out_64/1/neg/1-153-1.png,neg
1.0,/data/duke_data/patients/png_out_64/1/neg/1-075-1.png,neg
1.0,/data/duke_data/patients/png_out_64/1/neg/1-139-1.png,neg
