patient_number,data_path,label
1,/data/duke_data/patients/png_out_64/1/pos/1-089-1.png,pos
1,/data/duke_data/patients/png_out_64/1/pos/1-090-1.png,pos
1,/data/duke_data/patients/png_out_64/1/pos/1-091-1.png,pos
1,/data/duke_data/patients/png_out_64/1/pos/1-092-1.png,pos
1,/data/duke_data/patients/png_out_64/1/pos/1-093-1.png,pos
1,/data/duke_data/patients/png_out_64/1/pos/1-094-1.png,pos
1,/data/duke_data/patients/png_out_64/1/pos/1-095-1.png,pos
1,/data/duke_data/patients/png_out_64/1/pos/1-096-1.png,pos
1,/data/duke_data/patients/png_out_64/1/pos/1-097-1.png,pos
1,/data/duke_data/patients/png_out_64/1/pos/1-098-1.png,pos
1,/data/duke_data/patients/png_out_64/1/pos/1-099-1.png,pos
1,/data/duke_data/patients/png_out_64/1/pos/1-100-1.png,pos
1,/data/duke_data/patients/png_out_64/1/pos/1-101-1.png,pos
1,/data/duke_data/patients/png_out_64/1/pos/1-102-1.png,pos
1,/data/duke_data/patients/png_out_64/1/pos/1-103-1.png,pos
1,/data/duke_data/patients/png_out_64/1/pos/1-104-1.png,pos
1,/data/duke_data/patients/png_out_64/1/pos/1-105-1.png,pos
1,/data/duke_data/patients/png_out_64/1/pos/1-106-1.png,pos
1,/data/duke_data/patients/png_out_64/1/pos/1-107-1.png,pos
1,/data/duke_data/patients/png_out_64/1/pos/1-108-1.png,pos
1,/data/duke_data/patients/png_out_64/1/pos/1-109-1.png,pos
1,/data/duke_data/patients/png_out_64/1/pos/1-110-1.png,pos
1,/data/duke_data/patients/png_out_64/1/pos/1-111-1.png,pos
1,/data/duke_data/patients/png_out_64/1/neg/1-155-1.png,neg
1,/data/duke_data/patients/png_out_64/1/neg/1-047-1.png,neg
1,/data/duke_data/patients/png_out_64/1/neg/1-074-1.png,neg
1,/data/duke_data/patients/png_out_64/1/neg/1-124-1.png,neg
1,/data/duke_data/patients/png_out_64/1/neg/1-137-1.png,neg
1,/data/duke_data/patients/png_out_64/1/neg/1-054-1.png,neg
1,/data/duke_data/patients/png_out_64/1/neg/1-154-1.png,neg
1,/data/duke_data/patients/png_out_64/1/neg/1-136-1.png,neg
1,/data/duke_data/patients/png_out_64/1/neg/1-151-1.png,neg
1,/data/duke_data/patients/png_out_64/1/neg/1-043-1.png,neg
1,/data/duke_data/patients/png_out_64/1/neg/1-125-1.png,neg
1,/data/duke_data/patients/png_out_64/1/neg/1-052-1.png,neg
1,/data/duke_data/patients/png_out_64/1/neg/1-159-1.png,neg
1,/data/duke_data/patients/png_out_64/1/neg/1-036-1.png,neg
1,/data/duke_data/patients/png_out_64/1/neg/1-045-1.png,neg
1,/data/duke_data/patients/png_out_64/1/neg/1-153-1.png,neg
1,/data/duke_data/patients/png_out_64/1/neg/1-075-1.png,neg
1,/data/duke_data/patients/png_out_64/1/neg/1-139-1.png,neg
1,/data/duke_data/patients/png_out_64/1/neg/1-158-1.png,neg
1,/data/duke_data/patients/png_out_64/1/neg/1-003-1.png,neg
1,/data/duke_data/patients/png_out_64/1/neg/1-055-1.png,neg
1,/data/duke_data/patients/png_out_64/1/neg/1-147-1.png,neg
1,/data/duke_data/patients/png_out_64/1/neg/1-146-1.png,neg
3,/data/duke_data/patients/png_out_64/3/pos/1-096-3.png,pos
3,/data/duke_data/patients/png_out_64/3/pos/1-097-3.png,pos
3,/data/duke_data/patients/png_out_64/3/pos/1-098-3.png,pos
3,/data/duke_data/patients/png_out_64/3/pos/1-099-3.png,pos
3,/data/duke_data/patients/png_out_64/3/pos/1-100-3.png,pos
3,/data/duke_data/patients/png_out_64/3/pos/1-101-3.png,pos
3,/data/duke_data/patients/png_out_64/3/pos/1-102-3.png,pos
3,/data/duke_data/patients/png_out_64/3/pos/1-103-3.png,pos
3,/data/duke_data/patients/png_out_64/3/pos/1-104-3.png,pos
3,/data/duke_data/patients/png_out_64/3/pos/1-105-3.png,pos
3,/data/duke_data/patients/png_out_64/3/pos/1-106-3.png,pos
3,/data/duke_data/patients/png_out_64/3/pos/1-107-3.png,pos
3,/data/duke_data/patients/png_out_64/3/neg/1-043-3.png,neg
3,/data/duke_data/patients/png_out_64/3/neg/1-037-3.png,neg
3,/data/duke_data/patients/png_out_64/3/neg/1-116-3.png,neg
3,/data/duke_data/patients/png_out_64/3/neg/1-006-3.png,neg
3,/data/duke_data/patients/png_out_64/3/neg/1-066-3.png,neg
3,/data/duke_data/patients/png_out_64/3/neg/1-131-3.png,neg
3,/data/duke_data/patients/png_out_64/3/neg/1-057-3.png,neg
3,/data/duke_data/patients/png_out_64/3/neg/1-018-3.png,neg
3,/data/duke_data/patients/png_out_64/3/neg/1-054-3.png,neg
3,/data/duke_data/patients/png_out_64/3/neg/1-142-3.png,neg
3,/data/duke_data/patients/png_out_64/3/neg/1-070-3.png,neg
3,/data/duke_data/patients/png_out_64/3/neg/1-141-3.png,neg
4,/data/duke_data/patients/png_out_64/4/pos/1-086-4.png,pos
4,/data/duke_data/patients/png_out_64/4/pos/1-087-4.png,pos
4,/data/duke_data/patients/png_out_64/4/pos/1-088-4.png,pos
4,/data/duke_data/patients/png_out_64/4/pos/1-089-4.png,pos
4,/data/duke_data/patients/png_out_64/4/pos/1-090-4.png,pos
4,/data/duke_data/patients/png_out_64/4/pos/1-091-4.png,pos
4,/data/duke_data/patients/png_out_64/4/pos/1-092-4.png,pos
4,/data/duke_data/patients/png_out_64/4/pos/1-093-4.png,pos
4,/data/duke_data/patients/png_out_64/4/pos/1-094-4.png,pos
4,/data/duke_data/patients/png_out_64/4/neg/1-041-4.png,neg
4,/data/duke_data/patients/png_out_64/4/neg/1-067-4.png,neg
4,/data/duke_data/patients/png_out_64/4/neg/1-017-4.png,neg
4,/data/duke_data/patients/png_out_64/4/neg/1-150-4.png,neg
4,/data/duke_data/patients/png_out_64/4/neg/1-054-4.png,neg
4,/data/duke_data/patients/png_out_64/4/neg/1-006-4.png,neg
4,/data/duke_data/patients/png_out_64/4/neg/1-015-4.png,neg
4,/data/duke_data/patients/png_out_64/4/neg/1-127-4.png,neg
4,/data/duke_data/patients/png_out_64/4/neg/1-036-4.png,neg
5,/data/duke_data/patients/png_out_64/5/pos/1-076-5.png,pos
5,/data/duke_data/patients/png_out_64/5/pos/1-077-5.png,pos
5,/data/duke_data/patients/png_out_64/5/pos/1-078-5.png,pos
5,/data/duke_data/patients/png_out_64/5/pos/1-079-5.png,pos
5,/data/duke_data/patients/png_out_64/5/pos/1-080-5.png,pos
5,/data/duke_data/patients/png_out_64/5/pos/1-081-5.png,pos
5,/data/duke_data/patients/png_out_64/5/pos/1-082-5.png,pos
5,/data/duke_data/patients/png_out_64/5/pos/1-083-5.png,pos
5,/data/duke_data/patients/png_out_64/5/pos/1-084-5.png,pos
5,/data/duke_data/patients/png_out_64/5/pos/1-085-5.png,pos
5,/data/duke_data/patients/png_out_64/5/pos/1-086-5.png,pos
5,/data/duke_data/patients/png_out_64/5/pos/1-087-5.png,pos
5,/data/duke_data/patients/png_out_64/5/pos/1-088-5.png,pos
5,/data/duke_data/patients/png_out_64/5/pos/1-089-5.png,pos
5,/data/duke_data/patients/png_out_64/5/pos/1-090-5.png,pos
5,/data/duke_data/patients/png_out_64/5/pos/1-091-5.png,pos
5,/data/duke_data/patients/png_out_64/5/pos/1-092-5.png,pos
